#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Protein product	Length	Protein name
Un	NW_013657681.1	22458	59848	-	106537515	LOC106537515	XP_013907185.1	745	PREDICTED: roundabout homolog 2-like
Un	NW_013657681.1	254531	266346	-	106539206	ATP5F1	XP_013909461.1	255	PREDICTED: ATP synthase F(0) complex subunit B1, mitochondrial
Un	NW_013657681.1	268159	278385	+	106539296	WDR77	XP_013909573.1	346	PREDICTED: methylosome protein 50
Un	NW_013657681.1	291071	337627	-	106539384	LOC106539384	XP_013909682.1	1088	PREDICTED: uncharacterized protein C6orf132 homolog
Un	NW_013657681.1	365796	376384	+	106537599	GUCA1A	XP_013907291.1	231	PREDICTED: guanylyl cyclase-activating protein 1
Un	NW_013657681.1	385055	387917	-	106537699	GUCA1B	XP_013907402.1	135	PREDICTED: guanylyl cyclase-activating protein 2
Un	NW_013657681.1	400644	401434	+	106538710	LOC106538710	XP_013908806.1	262	PREDICTED: LOW QUALITY PROTEIN: UPF0739 protein C1orf74 homolog
Un	NW_013657681.1	402519	423494	-	106539482	TRAF3IP3	XP_013909789.1	516	PREDICTED: TRAF3-interacting JNK-activating modulator
Un	NW_013657681.1	443278	456544	-	106539582	HSD11B1	XP_013909900.1	293	PREDICTED: corticosteroid 11-beta-dehydrogenase isozyme 1
Un	NW_013657681.1	488016	488354	-	106538791	G0S2	XP_013908922.1	112	PREDICTED: G0/G1 switch protein 2
Un	NW_013657681.1	545866	618051	+	106539665	LAMB3	XP_013910019.1	1166	PREDICTED: laminin subunit beta-3
Un	NW_013657681.1	620959	649321	-	106539751	CAMK1G	XP_013910138.1	472	PREDICTED: calcium/calmodulin-dependent protein kinase type 1G
Un	NW_013657681.1	620959	649321	-	106539751	CAMK1G	XP_013910210.1	472	PREDICTED: calcium/calmodulin-dependent protein kinase type 1G
Un	NW_013657681.1	1272587	1298629	+	106538946	ARHGAP28	XP_013909113.1	508	PREDICTED: rho GTPase-activating protein 28
Un	NW_013657681.1	1309152	1424206	-	106537772	LAMA1	XP_013907527.1	2809	PREDICTED: laminin subunit alpha-1, partial
Un	NW_013657681.1	1448867	1449763	+	106537854	LRRC30	XP_013907639.1	298	PREDICTED: leucine-rich repeat-containing protein 30
Un	NW_013657681.1	1645569	1647407	-	106540035	LOC106540035	XP_013910527.1	612	PREDICTED: bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66
Un	NW_013657681.1	1703409	1731450	+	106539955	NUMB	XP_013910403.1	657	PREDICTED: protein numb homolog
Un	NW_013657681.1	1742182	1769783	-	106537940	PAPLN	XP_013907756.1	371	PREDICTED: papilin
Un	NW_013657681.1	1769831	1815046	+	106538011	LOC106538011	XP_013907884.1	674	PREDICTED: endogenous retrovirus group 3 member 1 Env polyprotein-like
Un	NW_013657681.1	1817946	1882079	-	106538094	LOC106538094	XP_013908001.1	340	PREDICTED: SH3 and multiple ankyrin repeat domains protein 1-like
Un	NW_013657681.1	1986306	2036784	-	106540201	LOC106540201	XP_013911225.1	4756	PREDICTED: golgin subfamily B member 1-like isoform X7
Un	NW_013657681.1	1986306	2036784	-	106540201	LOC106540201	XP_013910909.1	4782	PREDICTED: golgin subfamily B member 1-like isoform X3
Un	NW_013657681.1	1986306	2036784	-	106540201	LOC106540201	XP_013910835.1	4783	PREDICTED: golgin subfamily B member 1-like isoform X2
Un	NW_013657681.1	1986306	2036784	-	106540201	LOC106540201	XP_013911147.1	4758	PREDICTED: golgin subfamily B member 1-like isoform X6
Un	NW_013657681.1	1986306	2036784	-	106540201	LOC106540201	XP_013911062.1	4769	PREDICTED: golgin subfamily B member 1-like isoform X5
Un	NW_013657681.1	1986306	2036784	-	106540201	LOC106540201	XP_013910757.1	4784	PREDICTED: golgin subfamily B member 1-like isoform X1
Un	NW_013657681.1	1986306	2036784	-	106540201	LOC106540201	XP_013910988.1	4773	PREDICTED: golgin subfamily B member 1-like isoform X4
Un	NW_013657681.1	2075753	2082887	-	106538175	LOC106538175	XP_013908116.1	122	PREDICTED: CD59B glycoprotein-like
Un	NW_013657681.1	2111580	2115376	-	106540642	LOC106540642	XP_013911341.1	122	PREDICTED: CD59 glycoprotein-like
Un	NW_013657681.1	2133553	2144285	-	106540916	FBXO3	XP_013911734.1	421	PREDICTED: F-box only protein 3 isoform X1
Un	NW_013657681.1	2135281	2144285	-	106540916	FBXO3	XP_013911804.1	382	PREDICTED: F-box only protein 3 isoform X2
Un	NW_013657681.1	2178190	2192485	+	106538266	LOC106538266	XP_013908225.1	217	PREDICTED: delta and Notch-like epidermal growth factor-related receptor
Un	NW_013657681.1	2215184	2294242	+	106541073	PID1	XP_013911913.1	217	PREDICTED: PTB-containing, cubilin and LRP1-interacting protein
Un	NW_013657681.1	2526468	2572916	+	106541160	SPHKAP	XP_013912030.1	1666	PREDICTED: A-kinase anchor protein SPHKAP
Un	NW_013657681.1	2576219	2602862	-	106541253	DAW1	XP_013912225.1	415	PREDICTED: dynein assembly factor with WDR repeat domains 1 isoform X2
Un	NW_013657681.1	2576219	2594979	-	106541253	DAW1	XP_013912148.1	449	PREDICTED: dynein assembly factor with WDR repeat domains 1 isoform X1
Un	NW_013657681.1	2614611	2629350	+	106541422	SLC19A3	XP_013912384.1	505	PREDICTED: thiamine transporter 2 isoform X1
Un	NW_013657681.1	2618152	2629350	+	106541422	SLC19A3	XP_013912457.1	488	PREDICTED: thiamine transporter 2 isoform X2
Un	NW_013657681.1	2618152	2629350	+	106541422	SLC19A3	XP_013912532.1	488	PREDICTED: thiamine transporter 2 isoform X2
Un	NW_013657681.1	2637395	2668052	-	106541630	AGFG1	XP_013912716.1	556	PREDICTED: arf-GAP domain and FG repeat-containing protein 1 isoform X2
Un	NW_013657681.1	2637395	2668052	-	106541630	AGFG1	XP_013912864.1	586	PREDICTED: arf-GAP domain and FG repeat-containing protein 1 isoform X4
Un	NW_013657681.1	2637395	2668052	-	106541630	AGFG1	XP_013912644.1	602	PREDICTED: arf-GAP domain and FG repeat-containing protein 1 isoform X1
Un	NW_013657681.1	2637395	2665242	-	106541630	AGFG1	XP_013912792.1	533	PREDICTED: arf-GAP domain and FG repeat-containing protein 1 isoform X3
Un	NW_013657681.1	2671538	2680116	-	106539041	MRPL44	XP_013909222.1	327	PREDICTED: 39S ribosomal protein L44, mitochondrial
Un	NW_013657681.1	2687307	2710074	-	106538364	MFF	XP_013908341.1	214	PREDICTED: mitochondrial fission factor
Un	NW_013657681.1	2715324	2752188	-	106538452	LOC106538452	XP_013908452.1	354	PREDICTED: collagen alpha-3(IV) chain-like
Un	NW_013657681.1	2758939	2835036	+	106538546	COL4A4	XP_013908563.1	1496	PREDICTED: collagen alpha-4(IV) chain
Un	NW_013657681.1	2839967	2859883	-	106541906	RHBDD1	XP_013912985.1	316	PREDICTED: rhomboid-related protein 4
Un	NW_013657681.1	2839967	2859883	-	106541906	RHBDD1	XP_013913062.1	316	PREDICTED: rhomboid-related protein 4
Un	NW_013657681.1	2896567	2900127	+	106542051	IRS1	XP_013913180.1	1186	PREDICTED: insulin receptor substrate 1
Un	NW_013657681.1	3113149	3146192	-	106538629	LOC106538629	XP_013908688.1	1167	PREDICTED: LOW QUALITY PROTEIN: putative protocadherin beta-18
Un	NW_013657681.1	3194850	3227628	-	106542136	CEP89	XP_013913294.1	782	PREDICTED: centrosomal protein of 89 kDa
Un	NW_013657681.1	3204776	3205501	+	106542230	LOC106542230	XP_013913405.1	241	PREDICTED: E3 ubiquitin-protein ligase RNF182-like
Un	NW_013657682.1	1237	19762	+	106544112	HSPB8	XP_013915785.1	206	PREDICTED: heat shock protein beta-8
Un	NW_013657682.1	336059	386933	-	106542407	LOC106542407	XP_013913637.1	2574	PREDICTED: vacuolar protein sorting-associated protein 13C-like
Un	NW_013657682.1	400734	407247	-	106543552	LOC106543552	XP_013915109.1	150	PREDICTED: insulin-like growth factor I, partial
Un	NW_013657682.1	484607	508252	-	106542491	LOC106542491	XP_013913756.1	440	PREDICTED: tyrosine 3-monooxygenase-like
Un	NW_013657682.1	513282	525185	-	106544189	PAH	XP_013915905.1	439	PREDICTED: phenylalanine-4-hydroxylase
Un	NW_013657682.1	643499	649042	+	106544274	LZTS2	XP_013916022.1	636	PREDICTED: leucine zipper putative tumor suppressor 2
Un	NW_013657682.1	643499	649042	+	106544274	LZTS2	XP_013916096.1	636	PREDICTED: leucine zipper putative tumor suppressor 2
Un	NW_013657682.1	643499	649042	+	106544274	LZTS2	XP_013916171.1	636	PREDICTED: leucine zipper putative tumor suppressor 2
Un	NW_013657682.1	643499	649042	+	106544274	LZTS2	XP_013916246.1	636	PREDICTED: leucine zipper putative tumor suppressor 2
Un	NW_013657682.1	653689	695123	-	106542575	PDZD7	XP_013913862.1	1055	PREDICTED: PDZ domain-containing protein 7
Un	NW_013657682.1	705699	719630	+	106544552	SFXN3	XP_013916359.1	322	PREDICTED: sideroflexin-3 isoform X1
Un	NW_013657682.1	705699	719630	+	106544552	SFXN3	XP_013916439.1	322	PREDICTED: sideroflexin-3 isoform X1
Un	NW_013657682.1	705699	719630	+	106544552	SFXN3	XP_013916516.1	322	PREDICTED: sideroflexin-3 isoform X1
Un	NW_013657682.1	705699	719596	+	106544552	SFXN3	XP_013916593.1	294	PREDICTED: sideroflexin-3 isoform X2
Un	NW_013657682.1	740443	773919	+	106542664	LOC106542664	XP_013913972.1	200	PREDICTED: prolyl 4-hydroxylase subunit alpha-1-like
Un	NW_013657682.1	885386	899887	-	106542756	GANAB	XP_013914088.1	519	PREDICTED: neutral alpha-glucosidase AB
Un	NW_013657682.1	970019	1039177	-	106544807	LOC106544807	XP_013916708.1	589	PREDICTED: utrophin-like
Un	NW_013657682.1	1085872	1138138	-	106544906	GABRA1	XP_013916821.1	455	PREDICTED: gamma-aminobutyric acid receptor subunit alpha-1
Un	NW_013657682.1	1381381	1491473	+	106544992	GABRB2	XP_013916940.1	528	PREDICTED: gamma-aminobutyric acid receptor subunit beta-2 isoform X1
Un	NW_013657682.1	1381381	1491473	+	106544992	GABRB2	XP_013917014.1	528	PREDICTED: gamma-aminobutyric acid receptor subunit beta-2 isoform X1
Un	NW_013657682.1	1381381	1491473	+	106544992	GABRB2	XP_013917083.1	528	PREDICTED: gamma-aminobutyric acid receptor subunit beta-2 isoform X1
Un	NW_013657682.1	1381381	1491473	+	106544992	GABRB2	XP_013917162.1	511	PREDICTED: gamma-aminobutyric acid receptor subunit beta-2 isoform X2
Un	NW_013657682.1	1381381	1491473	+	106544992	GABRB2	XP_013917238.1	491	PREDICTED: gamma-aminobutyric acid receptor subunit beta-2 isoform X3
Un	NW_013657682.1	1381381	1491473	+	106544992	GABRB2	XP_013917314.1	474	PREDICTED: gamma-aminobutyric acid receptor subunit beta-2 isoform X4
Un	NW_013657682.1	1382671	1491473	+	106544992	GABRB2	XP_013917387.1	465	PREDICTED: gamma-aminobutyric acid receptor subunit beta-2 isoform X5
Un	NW_013657682.1	1744798	1811391	+	106542842	ATP10B	XP_013914194.1	1120	PREDICTED: probable phospholipid-transporting ATPase VB
Un	NW_013657682.1	1863335	1897602	+	106542931	SLU7	XP_013914312.1	547	PREDICTED: pre-mRNA-splicing factor SLU7
Un	NW_013657682.1	1907913	1912164	+	106543649	C1QTNF2	XP_013915218.1	285	PREDICTED: complement C1q tumor necrosis factor-related protein 2
Un	NW_013657682.1	1921802	1937766	+	106543742	CCNJL	XP_013915327.1	396	PREDICTED: cyclin-J-like protein
Un	NW_013657682.1	1943057	1955482	-	106543836	FABP6	XP_013915439.1	128	PREDICTED: gastrotropin
Un	NW_013657682.1	1989315	2007630	+	106545436	PWWP2A	XP_013917660.1	548	PREDICTED: PWWP domain-containing protein 2A isoform X2
Un	NW_013657682.1	1989315	1999446	+	106545436	PWWP2A	XP_013917503.1	782	PREDICTED: PWWP domain-containing protein 2A isoform X1
Un	NW_013657682.1	1989315	1999446	+	106545436	PWWP2A	XP_013917586.1	782	PREDICTED: PWWP domain-containing protein 2A isoform X1
Un	NW_013657682.1	2014064	2027626	-	106545627	TTC1	XP_013917770.1	279	PREDICTED: tetratricopeptide repeat protein 1
Un	NW_013657682.1	2014064	2027626	-	106545627	TTC1	XP_013917843.1	279	PREDICTED: tetratricopeptide repeat protein 1
Un	NW_013657682.1	2014064	2027626	-	106545627	TTC1	XP_013917920.1	279	PREDICTED: tetratricopeptide repeat protein 1
Un	NW_013657682.1	2051116	2057892	+	106545846	RTBDN	XP_013918037.1	257	PREDICTED: retbindin
Un	NW_013657682.1	2071751	2072608	-	106543931	JUNB	XP_013915549.1	285	PREDICTED: transcription factor jun-B
Un	NW_013657682.1	2112631	2148367	+	106543024	LOC106543024	XP_013914426.1	384	PREDICTED: protein Hook homolog 2-like
Un	NW_013657682.1	2138229	2139527	+	106545922	LOC106545922	XP_013918162.1	82	PREDICTED: protein Hook homolog 2-like
Un	NW_013657682.1	2154759	2164951	-	106543116	BEST2	XP_013914540.1	488	PREDICTED: bestrophin-2
Un	NW_013657682.1	2191949	2202619	-	106546010	ASNA1	XP_013918278.1	349	PREDICTED: ATPase ASNA1
Un	NW_013657682.1	2203196	2206217	+	106546309	LOC106546309	XP_013918663.1	147	PREDICTED: uncharacterized protein C19orf43 homolog
Un	NW_013657682.1	2211698	2226479	-	106546100	LOC106546100	XP_013918549.1	155	PREDICTED: RING finger protein 11-like isoform X3
Un	NW_013657682.1	2211698	2226479	-	106546100	LOC106546100	XP_013918391.1	188	PREDICTED: RING finger protein 11-like isoform X1
Un	NW_013657682.1	2211698	2226479	-	106546100	LOC106546100	XP_013918467.1	185	PREDICTED: RING finger protein 11-like isoform X2
Un	NW_013657682.1	2233038	2257999	+	106546398	TNPO2	XP_013918774.1	888	PREDICTED: transportin-2
Un	NW_013657682.1	2233038	2257999	+	106546398	TNPO2	XP_013918849.1	888	PREDICTED: transportin-2
Un	NW_013657682.1	2262410	2279471	+	106546557	FBXW9	XP_013918959.1	491	PREDICTED: F-box/WD repeat-containing protein 9 isoform X1
Un	NW_013657682.1	2262410	2279471	+	106546557	FBXW9	XP_013919111.1	448	PREDICTED: F-box/WD repeat-containing protein 9 isoform X3
Un	NW_013657682.1	2263295	2279471	+	106546557	FBXW9	XP_013919034.1	464	PREDICTED: F-box/WD repeat-containing protein 9 isoform X2
Un	NW_013657682.1	2286470	2292009	-	106546759	WDR83	XP_013919226.1	316	PREDICTED: WD repeat domain-containing protein 83
Un	NW_013657682.1	2293986	2303526	+	106546852	WDR83OS	XP_013919339.1	106	PREDICTED: protein Asterix isoform X1
Un	NW_013657682.1	2293986	2299811	+	106546852	WDR83OS	XP_013919407.1	97	PREDICTED: protein Asterix isoform X2
Un	NW_013657682.1	2316792	2317517	-	106544017	IER2	XP_013915666.1	241	PREDICTED: immediate early response gene 2 protein
Un	NW_013657682.1	2321894	2336559	+	106546996	STX10	XP_013919525.1	156	PREDICTED: syntaxin-10
Un	NW_013657682.1	2354501	2362081	-	106543207	NACC1	XP_013914660.1	349	PREDICTED: nucleus accumbens-associated protein 1
Un	NW_013657682.1	2390603	2406073	+	106547088	TRMT1	XP_013919640.1	643	PREDICTED: tRNA (guanine(26)-N(2))-dimethyltransferase
Un	NW_013657682.1	2407338	2409539	+	106547176	LOC106547176	XP_013919759.1	128	PREDICTED: tRNA (guanine(26)-N(2))-dimethyltransferase-like
Un	NW_013657682.1	2411299	2435347	-	106547262	MAN2B1	XP_013919874.1	997	PREDICTED: lysosomal alpha-mannosidase
Un	NW_013657682.1	2442354	2482702	-	106547539	LOC106547539	XP_013920263.1	517	PREDICTED: voltage-dependent P/Q-type calcium channel subunit alpha-1A-like
Un	NW_013657682.1	2496797	2574691	-	106547348	CACNA1A	XP_013919992.1	1798	PREDICTED: voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X1
Un	NW_013657682.1	2496797	2574691	-	106547348	CACNA1A	XP_013920073.1	1798	PREDICTED: voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X1
Un	NW_013657682.1	2503318	2574691	-	106547348	CACNA1A	XP_013920151.1	1783	PREDICTED: voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform X2
Un	NW_013657682.1	2654040	2687283	+	106547634	LPIN3	XP_013920373.1	894	PREDICTED: phosphatidate phosphatase LPIN3 isoform X1
Un	NW_013657682.1	2654040	2687283	+	106547634	LPIN3	XP_013920447.1	883	PREDICTED: phosphatidate phosphatase LPIN3 isoform X2
Un	NW_013657682.1	2658910	2687283	+	106547634	LPIN3	XP_013920523.1	817	PREDICTED: phosphatidate phosphatase LPIN3 isoform X3
Un	NW_013657682.1	2694830	2728261	-	106543287	EMILIN3	XP_013914772.1	783	PREDICTED: EMILIN-3
Un	NW_013657682.1	2955112	2983248	+	106543370	LOC106543370	XP_013914891.1	255	PREDICTED: rab GTPase-activating protein 1-like, isoform 10
Un	NW_013657683.1	71198	124487	+	106548541	UFL1	XP_013921440.1	794	PREDICTED: E3 UFM1-protein ligase 1
Un	NW_013657683.1	156070	171627	+	106548626	FHL5	XP_013921555.1	280	PREDICTED: four and a half LIM domains protein 5
Un	NW_013657683.1	236065	237321	-	106548723	GPR63	XP_013921670.1	418	PREDICTED: probable G-protein coupled receptor 63
Un	NW_013657683.1	335307	359404	-	106548196	MMS22L	XP_013921041.1	469	PREDICTED: protein MMS22-like, partial
Un	NW_013657683.1	1032228	1090317	+	106548806	TRIQK	XP_013921865.1	86	PREDICTED: triple QxxK/R motif-containing protein isoform X2
Un	NW_013657683.1	1032228	1086759	+	106548806	TRIQK	XP_013921785.1	97	PREDICTED: triple QxxK/R motif-containing protein isoform X1
Un	NW_013657683.1	1248872	1373382	+	106548960	CDK6	XP_013921969.1	326	PREDICTED: cyclin-dependent kinase 6 isoform X1
Un	NW_013657683.1	1248872	1373382	+	106548960	CDK6	XP_013922051.1	326	PREDICTED: cyclin-dependent kinase 6 isoform X1
Un	NW_013657683.1	1248872	1373382	+	106548960	CDK6	XP_013922133.1	326	PREDICTED: cyclin-dependent kinase 6 isoform X1
Un	NW_013657683.1	1248872	1373382	+	106548960	CDK6	XP_013922202.1	326	PREDICTED: cyclin-dependent kinase 6 isoform X1
Un	NW_013657683.1	1309977	1373382	+	106548960	CDK6	XP_013922281.1	202	PREDICTED: cyclin-dependent kinase 6 isoform X2
Un	NW_013657683.1	1447357	1458508	+	106547859	FAM133B	XP_013920633.1	246	PREDICTED: protein FAM133B
Un	NW_013657683.1	1487295	1630212	-	106547950	KIAA1217	XP_013920746.1	565	PREDICTED: sickle tail protein homolog, partial
Un	NW_013657683.1	1989674	1990891	-	106548351	OTUD1	XP_013921218.1	405	PREDICTED: OTU domain-containing protein 1
Un	NW_013657683.1	2008402	2082655	+	106549367	LOC106549367	XP_013922585.1	465	PREDICTED: uncharacterized protein C10orf67 homolog isoform X2
Un	NW_013657683.1	2008402	2082655	+	106549367	LOC106549367	XP_013922668.1	417	PREDICTED: uncharacterized protein C10orf67 homolog isoform X3
Un	NW_013657683.1	2008402	2082655	+	106549367	LOC106549367	XP_013922813.1	392	PREDICTED: uncharacterized protein C10orf67 homolog isoform X5
Un	NW_013657683.1	2020499	2082655	+	106549367	LOC106549367	XP_013922509.1	471	PREDICTED: uncharacterized protein C10orf67 homolog isoform X1
Un	NW_013657683.1	2023130	2082655	+	106549367	LOC106549367	XP_013922743.1	414	PREDICTED: uncharacterized protein C10orf67 homolog isoform X4
Un	NW_013657683.1	2105500	2107455	-	106548044	PTF1A	XP_013920861.1	290	PREDICTED: pancreas transcription factor 1 subunit alpha
Un	NW_013657683.1	2146916	2203592	-	106549703	ARMC3	XP_013923079.1	822	PREDICTED: armadillo repeat-containing protein 3 isoform X3
Un	NW_013657683.1	2146916	2203592	-	106549703	ARMC3	XP_013923003.1	835	PREDICTED: armadillo repeat-containing protein 3 isoform X2
Un	NW_013657683.1	2146916	2203592	-	106549703	ARMC3	XP_013922923.1	861	PREDICTED: armadillo repeat-containing protein 3 isoform X1
Un	NW_013657683.1	2267592	2331913	+	106549913	PIP4K2A	XP_013923180.1	404	PREDICTED: phosphatidylinositol 5-phosphate 4-kinase type-2 alpha
Un	NW_013657683.1	2506951	2610287	-	106550004	IKZF2	XP_013923530.1	453	PREDICTED: zinc finger protein Helios isoform X4
Un	NW_013657683.1	2506951	2610287	-	106550004	IKZF2	XP_013923369.1	501	PREDICTED: zinc finger protein Helios isoform X2
Un	NW_013657683.1	2506951	2610287	-	106550004	IKZF2	XP_013923445.1	479	PREDICTED: zinc finger protein Helios isoform X3
Un	NW_013657683.1	2506951	2610287	-	106550004	IKZF2	XP_013923292.1	527	PREDICTED: zinc finger protein Helios isoform X1
Un	NW_013657683.1	2646599	2658743	+	106548445	LOC106548445	XP_013921328.1	274	PREDICTED: sperm-associated antigen 16 protein-like, partial
Un	NW_013657683.1	2684556	2693120	+	106550259	EMC9	XP_013923645.1	210	PREDICTED: ER membrane protein complex subunit 9
Un	NW_013657684.1	1441	15812	-	106552085	LOC106552085	XP_013925781.1	654	PREDICTED: focal adhesion kinase 1-like
Un	NW_013657684.1	24112	42564	-	106552174	LOC106552174	XP_013925899.1	421	PREDICTED: RAB6A-GEF complex partner protein 1-like, partial
Un	NW_013657684.1	165273	166390	+	106551234	GNB3	XP_013924798.1	153	PREDICTED: guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3
Un	NW_013657684.1	171336	178228	-	106551148	CDCA3	XP_013924690.1	280	PREDICTED: cell division cycle-associated protein 3
Un	NW_013657684.1	178910	204089	+	106552273	USP5	XP_013926016.1	854	PREDICTED: ubiquitin carboxyl-terminal hydrolase 5 isoform X1
Un	NW_013657684.1	178910	204089	+	106552273	USP5	XP_013926088.1	831	PREDICTED: ubiquitin carboxyl-terminal hydrolase 5 isoform X2
Un	NW_013657684.1	207863	215632	+	106552425	TPI1	XP_013926209.1	248	PREDICTED: triosephosphate isomerase
Un	NW_013657684.1	223917	229179	+	106551314	LRRC23	XP_013924915.1	349	PREDICTED: leucine-rich repeat-containing protein 23
Un	NW_013657684.1	223917	229179	+	106551314	LRRC23	XP_013924990.1	349	PREDICTED: leucine-rich repeat-containing protein 23
Un	NW_013657684.1	243140	247385	+	106550416	ENO2	XP_013923835.1	159	PREDICTED: gamma-enolase
Un	NW_013657684.1	314645	327446	+	106552514	ATN1	XP_013926323.1	1193	PREDICTED: atrophin-1
Un	NW_013657684.1	332115	335344	+	106551475	LOC106551475	XP_013925099.1	134	PREDICTED: protein C10
Un	NW_013657684.1	343746	386318	+	106552603	PTPN6	XP_013926432.1	607	PREDICTED: tyrosine-protein phosphatase non-receptor type 6
Un	NW_013657684.1	343746	386318	+	106552603	PTPN6	XP_013926508.1	607	PREDICTED: tyrosine-protein phosphatase non-receptor type 6
Un	NW_013657684.1	343746	386318	+	106552603	PTPN6	XP_013926584.1	607	PREDICTED: tyrosine-protein phosphatase non-receptor type 6
Un	NW_013657684.1	343746	386318	+	106552603	PTPN6	XP_013926660.1	607	PREDICTED: tyrosine-protein phosphatase non-receptor type 6
